Name, Latitude, Longitude, Image
"Roadrunner",51.828914,9.44708,"http://lh3.googleusercontent.com/OGYh6CpHz4p5Sw4SDflXq8mnJ58OfqczOPSejFrMEBUbU9owWWnWlwXkSDW7uylSaRrZEu61U39Op_4qQTuV3HLAWfI"
"Das Kumlehnsche Ackerbürgerhaus",51.829277,9.448818,"http://lh3.googleusercontent.com/z6v5cEKuayLfqKM-4OszCHTQuoTGJO8ZA9ZfW1huXEFKy3fskPx0BUiZfZ0OqE5jxtxzmbhu7ZrMVFEZJO2tuXcleAI"
"Quellstein",51.827775,9.449286,"http://lh3.googleusercontent.com/6vz7QSoMQNlNWyaDzzl9xUm6oVl7WV1HkPonypBfth4nWjZFlavLAawprlHZe24G3p7G6DOamTdLuKaQEqj389MLf1U"
"Duftsäule Hyazinthe",51.828654,9.448039,"http://lh3.googleusercontent.com/XDx94PptTAgPuKBLGKj1pNPEeCT-Oabp_StIxMD78nkKN5q2BtAfX8jv8Bx6e32D__q5HJIKPWCPrgLmXd-O_GsAD9A"
"Raabe-Wanderweg",51.829252,9.447918,"http://lh3.googleusercontent.com/Jf-3B9Dm9kwtJQx8gsWmQ7d8SFnqQO-uWbXkPdkhDSciwvWeNNujWxE9kAp5My1_q81RjiHYc88R4GdgNX740AWqPDo"
"Duftsäule Anis",51.830219,9.447714,"http://lh3.googleusercontent.com/pX-ndRtk5wwi8qoKfFnUxH-wz12anzy8my5Smo5ZjtvAc1Vcs65sbfGQHoC0Nb38J2o8ldQ16rGtiavahUNKu3NVjgE"
"Mülleimer Kunst 2",51.827821,9.448053,"http://lh3.googleusercontent.com/KskvaDyFdWx9O0th_9YLxPhgCgaDRQApQvOcEu5hkXyb86SE4U0-ugBuBPkP_BEBHPq5fK7_UydRG1NSTiBzZkypWMI"
"Radbauer von 1632",51.829536,9.447916,"http://lh3.googleusercontent.com/RBZ3EU0HEfdg5hMgue4zCQZkASev4T3FX0QNr9avTf2Elx-vjy9Ei1NEO2Zp0jjoS5p-JXqqnwCx__CVy248Nl5EEp0"
"Gedenkstein",51.828699,9.449677,"http://lh3.googleusercontent.com/amLvffDDASLELz90w-Tn8yik-DuoLAg9EZyzSUHXWgwLcnMF5LKFZ4NW8H312KRUftid_nZvs1zx7Q8orQLFUTUl0RU"
"Marktbrunnen Holzminden",51.828362,9.446489,"http://lh3.googleusercontent.com/LIQfRjuokWWwdVXqUn_1Gf77BCG_sR3E-bxMwfRd7pt6R1osW2vXmDTB8MnDLYoasMblI8zSVNh1p_Ib0xGkR_XHQgjs"
"Rathaus Holzminden",51.829653,9.449698,"http://lh3.googleusercontent.com/QNrHYyOhBMYxsKaH3WQusZgihyxHGXO8RbC_6E_eN7Ty1nltHg6-aJq3NHAAbwWi_BwJNiHfu2jlKXGizkxHPxvoBw"
"Ackerbürger",51.828511,9.447099,"http://lh3.googleusercontent.com/WfieJaCGuv692D4mi7SNJxEV8JYDh9YEvTqQjYiuunBLlwnDcbkGALCBYfC5ZaggRKEo7tgyUpwpHlH3w-bm9DOL5Bg"
"Duftsäule Brot",51.827871,9.449403,"http://lh3.googleusercontent.com/rH1dDk7gQLccm2EuwDiml51sDkeq8hhZ6yomuUdZ1xw0Ve2mr_Q1HxgRM_FRChBzxYgU5Ar6xPG29hNjuxZ5VPJ6T7w"
"Mülleimer Kunst",51.827853,9.448621,"http://lh3.googleusercontent.com/ULAclD5xcHrRaXnBrXWqIevTywj6IZgRmnr-dirDkehlDfTKtnP5aDQ_A9r7puHyEtEq0PVeAFxU1zxGSsLJc-sQQsI"
"Qvem Non Doctrine",51.828589,9.446344,"http://lh3.googleusercontent.com/CFdZqZ1xvOhLiADsFcGELcoQmTpW5qfT3ZZlDe9VpPEiwkAaRhZX0gvNfe3_G-DKA3bgbELuo-SqeSj3hnHyp302TOo"
"Bürger Haus",51.829332,9.446822,"http://lh3.googleusercontent.com/8WOg-1qQu_5UUDOr3pTX_IyATGDS4H-WBTHU98vPZkXOutOI5Ip3kMKK2PTdo9DNwADBe6V3MVZA22bmsFuy8XfOQ8Q"
"Man Of Steel",51.827801,9.44849,"http://lh3.googleusercontent.com/3WqWahoqcULfvoeslm94Omh7hyKw_QR7AhYRlxrFFQWhYzx5-l6F5LwiUeOEvqU0s7xq7LoM6F6ho_2ZzA-rA2hzpA"
"Haus des Handwerks",51.828192,9.446196,"http://lh3.googleusercontent.com/KoLuDCX3iJn4wuHnZF4Mvn3JANxIpMZREJpjgeGLMO2JpwpDo3gGyrT-vIHe5Km9sekkM2OUsD3SgVtehoHscxRRyAw"
